Date,Open,High,Low,Close,Volume
08/30/2018,62.21,62.68,61.63,61.96,26628780
08/29/2018,61.87,62.53,61.82,62.47,26186240
08/28/2018,62.06,62.13,61.43,61.56,26080140
08/27/2018,61.38,62.15,61.29,62.09,23125100
08/24/2018,60.44,61.08,60.32,61.03,18936800
08/23/2018,60.36,61.06,60.21,60.27,19852080
08/22/2018,60,60.59,59.95,60.37,17747780
08/21/2018,60.4,60.86,60.02,60.08,24111600
08/20/2018,60.25,60.55,59.73,60.39,17415440
08/17/2018,60.1,60.45,59.41,60.05,27792900
08/16/2018,61.24,61.3,60.13,60.32,26863220
08/15/2018,61.46,61.76,60.48,60.72,36576280
08/14/2018,61.76,62.29,61.26,62.11,26963880
08/13/2018,61.85,62.46,61.68,61.75,19946920
08-10-2018,62.15,62.28,61.6,61.88,22178380
08-09-2018,62.5,62.78,62.3,62.46,16972020
08-08-2018,62.02,62.83,61.9,62.28,27418260
08-07-2018,61.85,62.56,61.81,62.11,29879600
08-06-2018,61.25,61.3,60.79,61.24,21634460
08-03-2018,61.48,61.5,60.75,61.19,21797920
08-02-2018,60.3,61.49,60.24,61.31,30625980
08-01-2018,61.4,61.67,60.51,61,31345280
07/31/2018,61,61.38,60.28,60.86,32894440
07/30/2018,61.4,61.75,60.57,60.99,36998080
07/27/2018,63.55,63.69,61.55,61.93,42611160
07/26/2018,62.55,63.49,62.45,63.42,48112760
07/25/2018,61.96,63.29,61.96,63.19,42799980
07/24/2018,63.13,63.3,61.78,62.4,66364080
07/23/2018,59.05,60.32,59.05,60.28,52384680
07/20/2018,59.35,59.84,59.21,59.25,24968000
07/19/2018,59.55,60,59.17,59.35,25533340
07/18/2018,59.83,60.23,59.52,59.79,27872120
07/17/2018,58.61,60.15,58.53,59.94,32207060
07/16/2018,59.47,59.55,58.96,59.19,21113240
07/13/2018,59.25,59.77,59,59.44,24441440
07-12-2018,57.99,59.22,57.8,59.17,25037680
07-11-2018,57.23,58.21,57.05,57.7,22399860
07-10-2018,57.85,57.98,57.48,57.64,15968240
07-09-2018,57.42,57.73,57.17,57.7,18179380
07-06-2018,56.18,57.05,56.04,57.01,19921580
07-05-2018,55.53,56.38,55.42,56.21,21333700
07-03-2018,56.79,56.79,55,55.14,13580680
07-02-2018,54.95,56.4,54.69,56.37,24346220
06/29/2018,56,56.41,55.75,55.78,26302420
06/28/2018,55.1,56.12,54.8,55.71,21448760
06/27/2018,56.07,56.59,55.18,55.2,25877840
06/26/2018,56.4,56.66,55.83,55.92,31264500
06/25/2018,57.18,57.2,55.64,56.24,43146200
06/22/2018,57.96,58.12,57.36,57.77,26219340
06/21/2018,58.74,58.86,57.61,57.88,24762360
06/20/2018,58.77,59.31,58.46,58.49,32970720
06/19/2018,57.93,58.56,57.7,58.4,32420360
06/18/2018,57.18,58.72,57.18,58.67,28273840
06/15/2018,57.44,57.67,57.17,57.61,42449520
06/14/2018,57.19,57.77,57.03,57.61,27017360
06/13/2018,57.06,57.33,56.67,56.74,30128140
06-12-2018,56.55,56.99,56.54,56.97,18240360
06-11-2018,55.93,56.86,55.93,56.5,21585880
06-08-2018,55.91,56.33,55.61,56.04,25816900
06-07-2018,56.57,56.79,55.83,56.19,30400400
06-06-2018,57.11,57.15,56.29,56.84,33964940
06-05-2018,57.05,57.29,56.66,56.98,33559460
06-04-2018,56.12,57.09,56.1,56.96,37791580
06-01-2018,54.97,56,54.93,55.98,48431960
05/31/2018,53.38,54.86,53.38,54.25,61766100
05/30/2018,53.15,53.46,52.84,53.39,22769140
05/29/2018,53.24,53.67,52.76,53.02,37302780
05/25/2018,53.95,54.13,53.69,53.78,17988120
05/24/2018,53.95,54.02,53.31,53.96,15335460
05/23/2018,53.26,54.04,53.09,53.98,21213660
05/22/2018,54.18,54.33,53.33,53.49,21800040
05/21/2018,53.7,54.4,53.68,53.98,20464220
05/18/2018,53.09,53.5,53.03,53.32,31304800
05/17/2018,53.99,54.34,53.68,53.93,20875320
05/16/2018,53.87,54.46,53.81,54.09,21946340
05/15/2018,54.5,54.5,53.67,53.96,29897440
05/14/2018,55,55.54,54.96,55.01,30361540
05-11-2018,54.68,55.07,54.55,54.91,25073300
05-10-2018,54.3,55.02,54.28,54.88,28860500
05-09-2018,52.91,54.27,52.82,54.14,40656360
05-08-2018,52.93,53.03,52.36,52.7,24354420
05-07-2018,52.46,53.08,52.36,52.74,29321300
05-04-2018,50.85,52.43,50.85,52.41,38773160
05-03-2018,50.95,51.48,50.31,51.19,36301160
05-02-2018,51.41,52.02,51.14,51.22,32061620
05-01-2018,50.68,51.92,50.41,51.87,28557140
04/30/2018,51.5,51.85,50.84,50.87,33425080
04/27/2018,52.3,52.48,51.28,51.5,32395920
04/26/2018,51.48,52.4,50.91,52,41590660
04/25/2018,51.28,51.62,50.77,51.06,47822100
04/24/2018,52.6,52.85,50.53,51,95205200
04/23/2018,53.89,54.14,53.04,53.37,46825160
04/20/2018,54.1,54.62,53.48,53.65,37793720
04/19/2018,53.47,54.71,53.41,54.39,34953420
04/18/2018,53.87,53.87,53.31,53.6,26882760
04/17/2018,52.57,53.89,52.41,53.71,46405320
04/16/2018,51.85,52.16,51.34,51.9,24224160
04/13/2018,52.04,52.32,51.15,51.46,24460340
04-12-2018,51.25,52.03,51.07,51.63,27187780
04-11-2018,51.4,51.57,50.79,51,29677620
04-10-2018,51.32,51.81,50.57,51.58,40592960
04-09-2018,50.84,51.98,50.7,50.77,35031180
04-06-2018,51,51.57,50.15,50.35,34928600
04-05-2018,52.07,52.14,51.01,51.39,27260980
04-04-2018,49.67,51.44,49.65,51.26,49693020
04-03-2018,50.7,51.05,49.7,50.67,45501520
04-02-2018,51.14,51.74,49.52,50.32,53608000
03/29/2018,50.58,52.15,50.15,51.59,54536600
03/28/2018,49.9,51.21,49.03,50.23,67385500
03/27/2018,53.15,53.24,49.85,50.26,61906300
03/26/2018,52.3,52.78,50.42,52.66,53302620
03/23/2018,52.35,53.17,51.06,51.08,43133440
03/22/2018,54.09,54.15,52.3,52.45,53339280
03/21/2018,54.64,55.32,54.26,54.54,37577460
03/20/2018,54.95,55.26,54.17,54.89,36637920
03/19/2018,56,56.1,54.45,54.99,56118740
03/16/2018,57.71,57.79,56.6,56.79,61839080
03/15/2018,57.5,58.05,56.73,57.48,29444520
03/14/2018,57.26,57.93,57.07,57.47,25828300
03/13/2018,58.5,58.84,56.67,56.91,38143420
03-12-2018,58.19,58.85,57.87,58.23,43445440
03-09-2018,56.8,58.04,56.62,58,42560760
03-08-2018,55.77,56.38,55.64,56.3,27102500
03-07-2018,54.46,55.61,54.27,55.48,25850740
03-06-2018,54.96,55.09,54.49,54.75,30655660
03-05-2018,53.76,54.86,53.45,54.55,24043480
03-02-2018,52.65,54.1,52.41,53.95,45431020
03-01-2018,55.39,55.51,53.35,53.48,50318200
02/28/2018,56.15,56.38,55.16,55.24,37652000
02/27/2018,57.06,57.2,55.9,55.91,35481600
02/26/2018,56.39,57.2,56.33,57.19,31181580
02/23/2018,55.63,56.36,55.24,56.34,25219360
02/22/2018,55.81,56.14,55.13,55.33,26343320
02/21/2018,55.32,56.7,55.32,55.57,30258200
02/20/2018,54.53,55.7,54.43,55.12,28462900
02/16/2018,54.42,55.23,54.42,54.74,33632240
02/15/2018,53.95,54.57,53.22,54.48,36868840
02/14/2018,52.45,53.59,52.34,53.49,31115740
02/13/2018,52.25,52.92,52.2,52.61,25301080
02-12-2018,52.4,53.08,52.05,52.6,41154360
02-09-2018,50.86,52.2,49.63,51.89,70117240
02-08-2018,52.77,52.93,50.03,50.08,57182720
02-07-2018,54.08,54.09,52.41,52.43,47384640
02-06-2018,51.36,54.09,51.16,54.03,68959120
02-05-2018,54.53,55.5,52.6,52.79,75966020
02-02-2018,56.1,56.15,55.36,55.6,97158860
02-01-2018,58.13,58.7,57.88,58.39,48242280
01/31/2018,58.53,58.65,57.96,58.5,30773760
01/30/2018,58.39,58.83,58.18,58.18,31126920
01/29/2018,58.82,59.34,58.6,58.78,27578260
01/26/2018,58.75,58.79,57.91,58.79,40375100
01/25/2018,58.63,58.8,58.14,58.52,29610800
01/24/2018,58.87,58.99,58.05,58.21,28332500
01/23/2018,57.99,58.58,57.94,58.5,26661120
01/22/2018,56.87,57.99,56.76,57.79,32359500
01/19/2018,56.59,56.89,56.42,56.88,35564580
01/18/2018,56.57,56.63,55.88,56.49,23964680
01/17/2018,56.31,56.63,55.85,56.6,24052780
01/16/2018,56.63,57,55.89,56.09,31505220
01-12-2018,55.12,56.21,55.06,56.11,34410660
01-11-2018,55.32,55.33,54.98,55.28,19565840
01-10-2018,54.86,55.23,54.81,55.13,20855860
01-09-2018,55.47,55.53,55.06,55.31,18050820
01-08-2018,55.11,55.56,55.08,55.35,20952060
01-05-2018,54.7,55.21,54.6,55.11,25582460
01-04-2018,54.4,54.68,54.2,54.32,20092100
01-03-2018,53.22,54.31,53.16,54.12,28603400
01-02-2018,52.42,53.35,52.26,53.25,24751280
12/31/2019,66.51,66.9,66.45,66.85,19249360
12/30/2019,67.5,67.65,66.7,66.81,21026460
12/27/2019,68.15,68.23,67.47,67.59,20774360
12/26/2019,67.31,68.07,67.22,68.02,13355080
12/24/2019,67.43,67.51,67.14,67.18,6950360
12/23/2019,67.79,67.99,67.33,67.44,17664000
12/20/2019,68.17,68.18,67.45,67.48,66338100
12/19/2019,67.59,67.91,67.45,67.8,29402240
12/18/2019,67.83,68.02,67.55,67.63,33141380
12/17/2019,68.14,68.25,67.57,67.76,37105180
12/16/2019,67.83,68.23,67.63,68.06,27949020
12/13/2019,67.4,67.65,67.19,67.39,30988500
12-12-2019,67.3,67.79,67.03,67.51,25634440
12-11-2019,67.54,67.56,67.13,67.25,17015920
12-10-2019,67.08,67.5,66.8,67.23,21893060
12-09-2019,66.9,67.97,66.89,67.18,27115900
12-06-2019,66.67,67.2,66.67,67.03,26310200
12-05-2019,66.4,66.47,65.82,66.41,24256360
12-04-2019,65.35,66.29,65.24,66.03,30762200
12-03-2019,63.98,64.92,63.95,64.76,25372940
12-02-2019,65.05,65.29,64.05,64.5,30237020
11/29/2019,65.36,65.51,65.2,65.25,11739620
11/27/2019,65.75,65.92,65.48,65.65,19926580
11/26/2019,65.49,65.74,65.25,65.68,21395900
11/25/2019,64.96,65.57,64.91,65.33,20729740
11/22/2019,65.28,65.44,64.57,64.77,27730120
11/21/2019,65.07,65.63,64.65,65.07,19909980
11/20/2019,65.59,65.75,64.56,65.15,26196700
11/19/2019,66.39,66.39,65.64,65.77,25387440
11/18/2019,66.61,66.78,65.88,66.04,29761660
11/15/2019,65.95,66.74,65.71,66.74,35659100
11/14/2019,64.88,65.85,64.78,65.57,23886100
11/13/2019,64.7,65.22,64.68,64.9,17077220
11-12-2019,65,65.5,64.79,64.94,21717180
11-11-2019,65.16,65.32,64.87,64.96,20248580
11-08-2019,65.26,65.9,65.22,65.57,25038320
11-07-2019,64.71,66.19,64.71,65.44,40599400
11-06-2019,64.47,64.69,64.13,64.59,23059540
11-05-2019,64.64,64.95,64.56,64.6,25654220
11-04-2019,63.82,64.71,63.82,64.57,30019280
11-01-2019,63.25,63.73,63.03,63.69,33401440
10/31/2019,63.06,63.38,62.54,63.01,29113020
10/30/2019,62.65,63.47,62.6,63.06,28177020
10/29/2019,63.81,64.08,62.86,63.13,37727600
10/28/2019,63.77,64.97,63.63,64.5,52264740
10/25/2019,62.55,63.48,62.5,63.26,24261020
10/24/2019,63.05,63.2,62.69,63.05,20797360
10/23/2019,62.12,62.99,62.12,62.96,18571900
10/22/2019,62.39,62.53,62.07,62.14,20957020
10/21/2019,62.61,62.73,62.03,62.31,20760840
10/18/2019,62.67,62.94,62.05,62.27,27056780
10/17/2019,62.55,63.17,62.5,62.65,19610200
10/16/2019,62.06,62.74,61.92,62.18,23363480
10/15/2019,61.02,62.37,61.02,62.15,27905180
10/14/2019,60.62,61.32,60.59,60.86,17640780
10-11-2019,61.11,61.42,60.69,60.77,25542880
10-10-2019,59.93,60.75,59.87,60.43,18650620
10-09-2019,59.97,60.42,59.88,60.12,17532640
10-08-2019,59.88,60.3,59.45,59.46,22835680
10-07-2019,60.22,60.91,60.19,60.38,17342980
10-04-2019,59.59,60.57,59.46,60.45,23665280
10-03-2019,59,59.45,58.12,59.39,33273120
10-02-2019,59.85,59.85,58.56,58.83,32784740
10-01-2019,60.95,61.56,60.18,60.26,27165580
09/30/2019,61.05,61.3,60.62,60.95,28393520
09/27/2019,62.15,62.2,60.72,61.25,27088640
09/26/2019,62.1,62.25,61.61,62.07,31237640
09/25/2019,60.79,62.42,60.5,62.33,31877500
09/24/2019,62,62.34,60.53,60.94,31835720
09/23/2019,61.3,61.95,61.21,61.7,21505060
09/20/2019,61.66,62.17,61.15,61.5,46745380
09/19/2019,61.6,62.22,61.6,61.94,20003100
09/18/2019,61.38,61.78,60.83,61.62,22886660
09/17/2019,61.52,61.75,61.18,61.46,19162240
09/16/2019,61.48,61.98,61.28,61.57,21065980
09/13/2019,61.57,62.04,61.35,61.98,26027000
09-12-2019,61.22,62.09,61.15,61.71,34518160
09-11-2019,60.17,61.13,60.11,61.01,26140660
09-10-2019,59.76,60.5,59.73,60.3,25202300
09-09-2019,60.2,61,59.63,60.22,29437600
09-06-2019,60.41,60.6,60.13,60.25,21442860
09-05-2019,59.58,60.65,59.58,60.57,28172020
09-04-2019,58.84,59.17,58.55,59.07,21379360
09-03-2019,58.85,59.34,58.16,58.42,29608400
08/30/2019,59.93,59.93,59.19,59.41,22599180
08/29/2019,59.06,59.8,59.06,59.64,21777160
08/28/2019,58.09,58.82,57.87,58.55,16044860
08/27/2019,59.03,59.12,58.07,58.39,21549040
08/26/2019,57.86,58.47,57.65,58.44,24528820
08/23/2019,59.1,59.7,57.39,57.56,33765420
08/22/2019,59.7,59.9,58.93,59.48,18958120
08/21/2019,59.66,59.95,59.37,59.56,14821060
08/20/2019,59.76,59.8,59.11,59.13,18312100
08/19/2019,59.5,60.35,59.5,59.92,24650340
08/16/2019,58.98,59.14,58.59,58.88,26988720
08/15/2019,58.18,58.79,58.11,58.36,24494780
08/14/2019,58.82,59.12,58.03,58.21,31573360
08/13/2019,58.57,60.24,58.57,59.86,26360180
08-12-2019,58.96,59.25,58.38,58.74,20063740
08-09-2019,59.9,60.19,59.18,59.4,21313160
08-08-2019,59.14,60.25,58.65,60.24,29359940
08-07-2019,57.8,58.92,57.48,58.7,28886480
08-06-2019,58.17,59,58,58.5,34187480
08-05-2019,58.5,58.76,57.01,57.62,51949100
08-02-2019,60.04,60.35,59.45,59.7,32901340
08-01-2019,60.7,61.71,60.29,60.45,33970200
07/31/2019,61.15,61.7,60.39,60.83,34509080
07/30/2019,61.27,61.74,61.17,61.26,29065260
07/29/2019,62.05,62.37,61.41,61.97,44474620
07/26/2019,61.2,63.28,61.2,62.52,96115040
07/25/2019,56.89,57.09,56.05,56.61,44196460
07/24/2019,56.6,57.2,56.35,56.89,31802020
07/23/2019,57.2,57.35,56.59,57.31,21873760
07/22/2019,56.67,56.96,56.21,56.9,26036920
07/19/2019,57.41,57.56,56.48,56.51,32944900
07/18/2019,57.09,57.38,56.64,57.32,25825620
07/17/2019,57.55,57.92,57.29,57.32,23400940
07/16/2019,57.3,57.93,57.25,57.68,24776140
07/15/2019,57.34,57.54,56.97,57.52,18075600
07-12-2019,57.2,57.37,56.94,57.25,17279460
07-11-2019,57.16,57.65,56.98,57.21,23911380
07-10-2019,56.56,57.1,56.55,57.02,24189320
07-09-2019,55.59,56.4,55.36,56.24,26607400
07-08-2019,56.26,56.3,55.56,55.82,24728380
07-05-2019,55.89,56.64,55.81,56.58,25290800
07-03-2019,55.87,56.34,55.69,56.08,15340220
07-02-2019,55.11,55.59,54.91,55.56,19835100
07-01-2019,54.9,55.38,54.69,54.9,28770080
06/28/2019,53.82,54.05,53.67,54.05,33869000
06/27/2019,54.2,54.36,53.76,53.8,20089540
06/26/2019,54.33,54.65,53.61,53.99,36217380
06/25/2019,55.63,55.72,54.19,54.32,30938260
06/24/2019,55.98,56.1,55.55,55.78,27913920
06/21/2019,55.46,56.21,55.4,56.09,38951820
06/20/2019,56,56.01,55.24,55.57,25240220
06/19/2019,55.28,55.35,54.67,55.12,26784360
06/18/2019,55.48,55.82,54.95,55.18,27733680
06/17/2019,54.31,54.96,54.31,54.63,18832040
06/14/2019,54.32,54.63,54.01,54.27,22232860
06/13/2019,54.18,54.71,54.01,54.44,21160000
06-12-2019,53.9,54.05,53.38,53.85,21225100
06-11-2019,54.7,55.1,53.88,53.94,28741260
06-10-2019,53.65,54.63,53.62,54.02,29284960
06-07-2019,52.53,53.55,52.42,53.3,36047400
06-06-2019,52.25,52.37,51.69,52.22,34064880
06-05-2019,52.58,52.68,51.52,52.11,43368780
06-04-2019,52.15,52.8,51.68,52.65,56669660
06-03-2019,53.28,53.28,51.25,51.81,102611520
05/31/2019,55.06,55.48,55.01,55.18,30164060
05/30/2019,55.78,56.16,55.61,55.9,19037460
05/29/2019,56.38,56.46,55.41,55.82,30764240
05/28/2019,56.7,57.58,56.66,56.71,27303320
05/24/2019,57.37,57.49,56.58,56.67,22246820
05/23/2019,57.03,57.3,56.46,57.04,23986000
05/22/2019,57.34,57.93,57.29,57.57,18296780
05/21/2019,57.42,57.64,56.9,57.48,23203160
05/20/2019,57.23,57.34,56.57,56.94,27065840
05/17/2019,58.42,59.01,58,58.12,24172460
05/16/2019,58.23,59.41,58.14,58.95,30628080
05/15/2019,55.89,58.57,55.83,58.21,45786040
05/14/2019,56.86,57.02,55.98,56.02,36732080
05/13/2019,57.1,57.4,56.11,56.6,37212960
05-10-2019,58.18,58.63,57.13,58.21,26290920
05-09-2019,57.95,58.48,57.54,58.12,23719460
05-08-2019,58.6,59.02,58.29,58.31,26190280
05-07-2019,59.02,59.52,58.05,58.71,31027360
05-06-2019,58.31,59.54,58.31,59.47,31278860
05-03-2019,58.68,59.34,58.45,59.27,39613060
05-02-2019,58.39,58.71,57.75,58.13,38896340
05-01-2019,59.4,59.4,58.36,58.4,52859660
04/30/2019,59.25,59.64,58.75,59.42,124140540
04/29/2019,63.7,64.46,63.31,64.38,49988640
04/26/2019,63.45,63.65,63.02,63.61,24828560
04/25/2019,63.24,63.37,62.6,63.17,22145900
04/24/2019,63.21,63.4,62.75,62.8,20375060
04/23/2019,62.53,63.45,62.32,63.23,26398200
04/22/2019,61.8,62.45,61.42,62.44,16146680
04/18/2019,61.96,62.1,61.73,61.82,26636460
04/17/2019,61.65,62.03,61.39,61.82,24438600
04/16/2019,61.25,61.54,61.01,61.36,17126080
04/15/2019,60.9,61.21,60.46,61.06,23750380
04-12-2019,60.5,60.92,60.41,60.89,18675880
04-11-2019,60.2,60.4,60.01,60.23,14204620
04-10-2019,60.03,60.19,59.82,60.11,14492860
04-09-2019,59.8,60.11,59.65,59.86,17527620
04-08-2019,60.39,60.43,59.99,60.19,17207260
04-05-2019,60.75,60.81,60.25,60.36,18143040
04-04-2019,60.3,60.78,60.21,60.75,19014940
04-03-2019,60.37,60.82,60.03,60.3,20356760
04-02-2019,59.77,60.07,59.29,60.02,16559460
04-01-2019,59.21,59.83,59.1,59.72,25055140
03/29/2019,58.75,58.95,58.14,58.67,25399580
03/28/2019,58.58,58.58,57.97,58.42,20248600
03/27/2019,59.28,59.38,57.97,58.65,28004800
03/26/2019,59.93,60.14,58.84,59.23,38023120
03/25/2019,59.85,60.32,59.35,59.65,29936860
03/22/2019,61.32,61.5,60.14,60.28,34284940
03/21/2019,60.8,61.59,60.66,61.58,24080900
03/20/2019,59.87,61.36,59.81,61.2,44555720
03/19/2019,59.44,60,59.29,59.94,30413760
03/18/2019,59.17,59.5,58.87,59.21,25852660
03/15/2019,59.67,59.83,59.13,59.22,49199140
03/14/2019,59.73,59.89,59.22,59.28,23456300
03/13/2019,60.03,60.05,59.6,59.67,28718720
03-12-2019,58.91,60,58.91,59.66,40262300
03-11-2019,57.22,58.81,57.22,58.79,34383840
03-08-2019,56.34,57.35,56.17,57.12,24249780
03-07-2019,57.79,57.84,56.75,57.17,23331180
03-06-2019,58.12,58.38,57.77,57.89,21985780
03-05-2019,57.5,58.48,57.31,58.1,28863480
03-04-2019,57.35,57.91,56.53,57.39,28920940
03-01-2019,56.25,57.15,56.24,57.05,29006320
02/28/2019,55.57,56.38,55.55,56,30852180
02/27/2019,55.35,55.9,55.05,55.8,19375200
02/26/2019,55.29,55.98,55,55.76,29434860
02/25/2019,55.8,55.93,55.36,55.47,28261220
02/22/2019,55.05,55.56,54.78,55.52,20990900
02/21/2019,55.54,55.6,54.63,54.85,28309460
02/20/2019,56,56.17,55.26,55.69,21756340
02/19/2019,55.5,56.09,55.5,55.93,20932560
02/15/2019,56.5,56.58,55.53,55.68,28996600
02/14/2019,55.9,56.41,55.52,56.08,18952640
02/13/2019,56.25,56.74,55.93,56.01,20995620
02-12-2019,55.34,56.26,55.29,56.07,32190260
02-11-2019,54.85,55.3,54.64,54.75,21303880
02-08-2019,54.35,54.95,54.33,54.75,21515380
02-07-2019,55.21,55.24,54.3,54.94,40896540
02-06-2019,56.98,57.35,55.64,55.76,42111840
02-05-2019,56.24,57.34,55.86,57.3,71043880
02-04-2019,55.63,56.64,55.45,56.64,51529400
02-01-2019,55.62,56.25,55.24,55.54,29244160
01/31/2019,55.15,55.87,54.77,55.82,30766480
01/30/2019,53.42,54.55,53.34,54.45,25596440
01/29/2019,53.63,53.76,52.79,53.03,20436380
01/28/2019,54.01,54.15,53.19,53.5,25685620
01/25/2019,54.25,54.7,54.09,54.55,22384320
01/24/2019,53.82,53.97,53.04,53.7,27233460
01/23/2019,53.87,54.25,52.99,53.78,19339120
01/22/2019,54.4,54.58,53.17,53.53,32270540
01/18/2019,55,55.42,54.55,54.91,39111180
01/17/2019,53.97,54.59,53.68,54.5,24853280
01/16/2019,54,54.62,53.97,54.05,26636380
01/15/2019,52.51,54,52.37,53.86,29271400
01/14/2019,52.35,52.58,52.06,52.23,22885260
01-11-2019,53.16,53.19,52.42,52.86,30415120
01-10-2019,53.38,53.56,52.89,53.52,29128420
01-09-2019,54.08,54.13,53.32,53.73,23985440
01-08-2019,53.81,54.23,53.03,53.81,35305340
01-07-2019,53.58,53.7,52.74,53.42,39637480
01-04-2019,51.63,53.54,51.37,53.54,41877880
01-03-2019,52.05,52.85,50.7,50.8,36821320
01-02-2019,50.83,52.62,50.79,52.29,30652160
12/31/2020,86.77,87.95,86.77,87.59,20244800
12/30/2020,88.1,88.25,86.28,86.98,26122600
12/29/2020,89.39,89.62,87.8,87.94,25987900
12/28/2020,87.58,89.54,87.32,88.8,27860660
12/24/2020,86.75,87.3,86.46,86.94,6935060
12/23/2020,86.41,87.4,86.25,86.62,20678340
12/22/2020,86.72,86.87,85.63,86.18,18766920
12/21/2020,85.68,87.04,84.95,86.97,36567560
12/18/2020,87.71,87.76,86.01,86.55,80327060
12/17/2020,88.43,88.59,86.93,87.4,32494880
12/16/2020,88.64,88.65,87.8,88.15,30270860
12/15/2020,88.22,88.57,87.5,88.39,29645220
12/14/2020,88.75,89.87,87.86,88,32003460
12-11-2020,88.15,89.22,88,89.09,24413020
12-10-2020,88.49,89.07,87.02,88.77,27256960
12-09-2020,90.6,91.71,88.39,89.21,30151160
12-08-2020,90.51,91.1,89.81,90.93,21926380
